,index,0_0_x,0_0_y,0_4_x,0_4_y,0_8_x,0_8_y,0_20_x,0_20_y,1_0_x,1_0_y,1_4_x,1_4_y,1_8_x,1_8_y,1_20_x,1_20_y,2_0_x,2_0_y,2_4_x,2_4_y,2_8_x,2_8_y,2_20_x,2_20_y,3_0_x,3_0_y,3_4_x,3_4_y,3_8_x,3_8_y,3_20_x,3_20_y,4_0_x,4_0_y,4_4_x,4_4_y,4_8_x,4_8_y,4_20_x,4_20_y,5_0_x,5_0_y,5_4_x,5_4_y,5_8_x,5_8_y,5_20_x,5_20_y,6_0_x,6_0_y,6_4_x,6_4_y,6_8_x,6_8_y,6_20_x,6_20_y,7_0_x,7_0_y,7_4_x,7_4_y,7_8_x,7_8_y,7_20_x,7_20_y,8_0_x,8_0_y,8_4_x,8_4_y,8_8_x,8_8_y,8_20_x,8_20_y,9_0_x,9_0_y,9_4_x,9_4_y,9_8_x,9_8_y,9_20_x,9_20_y,Label
1,Hello_1,0,2,0,1,0,2,0,2,0,14,0,17,0,21,0,21,0,1,0,0,0,0,0,0,0,30,0,30,0,39,0,42,0,6,0,11,0,16,0,15,0,1,0,2,0,0,0,-3,0,0,0,3,0,8,0,10,0,1,0,3,0,1,0,-3,0,-4,0,-3,0,-2,0,-1,0,-16,0,-25,0,-31,0,-36,Hello
2,Hello_2,0,-16,0,-15,0,-20,0,-19,0,0,0,0,0,1,0,-4,0,-21,0,-17,0,-20,0,-22,0,-16,0,-18,0,-29,0,-24,0,-2,0,-3,0,1,0,5,0,-11,0,-19,0,-27,0,-23,0,-2,0,0,0,4,0,1,0,-11,0,-14,0,-28,0,-38,0,-32,0,-36,0,-42,0,-47,0,-34,0,-26,0,-21,0,-24,Hello
3,Hello_3,0,1,0,-1,0,-2,0,1,0,-8,0,-21,0,-24,0,-18,0,-2,0,3,0,-1,0,-4,0,-8,0,-15,0,-20,0,-12,0,-1,0,0,0,0,0,-2,0,-6,0,-14,0,-16,0,-15,0,-13,0,-25,0,-31,0,-26,0,-1,0,-7,0,-7,0,-8,0,0,0,1,0,0,0,0,0,0,0,-2,0,-2,0,2,Hello
4,Hello_4,0,1,0,0,0,0,0,0,0,8,0,6,0,7,0,11,0,12,0,30,0,37,0,36,0,10,0,14,0,12,0,14,0,0,0,-3,0,3,0,-1,0,11,0,21,0,22,0,17,0,1,0,-4,0,3,0,-1,0,15,0,26,0,58,0,18,0,31,0,20,0,-17,0,29,0,0,0,4,0,-1,0,-1,Hello
5,Hello_5,0,25,0,34,0,51,0,62,0,4,0,24,0,27,0,27,0,21,0,20,0,25,0,15,0,0,0,-1,0,0,0,3,0,12,0,16,0,24,0,20,0,0,0,0,0,0,0,2,0,30,0,31,0,39,0,42,0,6,0,15,0,21,0,18,0,3,0,-1,0,0,0,-2,0,7,0,10,0,14,0,15,Hello
6,Hello_6,0,-1,0,6,0,6,0,9,0,1,0,0,0,0,0,3,0,-2,0,1,0,3,0,-1,0,0,0,1,0,0,0,0,0,-14,0,-31,0,-35,0,-40,0,-18,0,-16,0,-22,0,-20,0,-18,0,-20,0,-25,0,-26,0,-5,0,2,0,-1,0,4,0,-20,0,-20,0,-30,0,-40,0,-1,0,0,0,-4,0,-6,Hello
7,Hello_7,0,-13,0,-22,0,-26,0,-22,0,-9,0,-57,0,-68,0,-72,0,-47,0,-7,0,10,0,-31,0,-1,0,-3,0,-3,0,-1,0,-14,0,-39,0,-43,0,-28,0,-1,0,-7,0,-4,0,1,0,-21,0,-35,0,-67,0,-32,0,-3,0,-5,0,1,0,-1,0,-16,0,-24,0,-34,0,-27,0,-39,0,-53,0,-61,0,-65,Hello
8,Hello_8,0,-17,0,-31,0,-26,0,-28,0,-2,0,3,0,-1,0,-3,0,-3,0,-13,0,-19,0,-13,0,-4,0,1,0,1,0,6,0,4,0,2,0,1,0,0,0,-1,0,-1,0,-1,0,0,0,8,0,11,0,18,0,10,0,33,0,18,0,66,0,75,0,26,0,66,0,37,0,28,0,3,0,18,0,6,0,1,Hello
9,Hello_9,0,12,0,15,0,61,0,26,0,25,0,21,0,-15,0,23,0,4,0,-2,0,21,0,0,0,37,0,50,0,66,0,46,0,22,0,21,0,-14,0,41,0,9,0,26,0,26,0,19,0,0,0,-4,0,3,0,3,0,15,0,26,0,28,0,18,0,-5,0,-1,0,-2,0,2,0,39,0,42,0,55,0,57,Hello
10,Hello_10,0,24,0,16,0,19,0,16,0,-1,0,1,0,0,0,2,0,14,0,18,0,22,0,22,0,9,0,14,0,16,0,18,0,1,0,0,0,1,0,-1,0,9,0,13,0,18,0,17,0,0,0,0,0,0,0,-2,0,22,0,25,0,30,0,34,0,0,0,6,0,2,0,3,0,3,0,-5,0,-5,0,-6,Hello
