,index,0_0_x,0_0_y,0_4_x,0_4_y,0_8_x,0_8_y,0_20_x,0_20_y,1_0_x,1_0_y,1_4_x,1_4_y,1_8_x,1_8_y,1_20_x,1_20_y,2_0_x,2_0_y,2_4_x,2_4_y,2_8_x,2_8_y,2_20_x,2_20_y,3_0_x,3_0_y,3_4_x,3_4_y,3_8_x,3_8_y,3_20_x,3_20_y,4_0_x,4_0_y,4_4_x,4_4_y,4_8_x,4_8_y,4_20_x,4_20_y,5_0_x,5_0_y,5_4_x,5_4_y,5_8_x,5_8_y,5_20_x,5_20_y,6_0_x,6_0_y,6_4_x,6_4_y,6_8_x,6_8_y,6_20_x,6_20_y,7_0_x,7_0_y,7_4_x,7_4_y,7_8_x,7_8_y,7_20_x,7_20_y,8_0_x,8_0_y,8_4_x,8_4_y,8_8_x,8_8_y,8_20_x,8_20_y,9_0_x,9_0_y,9_4_x,9_4_y,9_8_x,9_8_y,9_20_x,9_20_y,Label
1,Stop_1,0,7,0,1,0,3,0,4,0,2,0,-2,0,-2,0,2,0,12,0,9,0,9,0,14,0,1,0,6,0,8,0,3,0,1,0,-2,0,-2,0,2,0,4,0,7,0,4,0,0,0,1,0,6,0,4,0,-1,0,-2,0,-2,0,0,0,0,0,4,0,8,0,4,0,-4,0,-2,0,-3,0,-2,0,-1,Stop
2,Stop_2,0,5,0,11,0,5,0,-3,0,23,0,15,0,3,0,-14,0,20,0,12,0,4,0,-11,0,-2,0,1,0,2,0,2,0,19,0,18,0,13,0,0,0,18,0,40,0,22,0,6,0,2,0,5,0,2,0,-1,0,24,0,13,0,15,0,4,0,2,0,4,0,2,0,-1,0,14,0,20,0,10,0,-9,Stop
3,Stop_3,0,-5,0,0,0,-4,0,-9,0,-1,0,0,0,2,0,0,0,-2,0,-2,0,-6,0,-12,0,4,0,2,0,-2,0,1,0,-2,0,-5,0,-1,0,-3,0,11,0,-14,0,-3,0,16,0,4,0,-4,0,-5,0,12,0,2,0,-1,0,0,0,2,0,-4,0,-9,0,-5,0,9,0,-6,0,-1,0,1,0,3,Stop
4,Stop_4,0,-10,0,-9,0,-3,0,6,0,-8,0,-9,0,-5,0,7,0,5,0,-4,0,-6,0,0,0,-5,0,-18,0,-13,0,12,0,-1,0,-8,0,-8,0,2,0,-3,0,-9,0,-5,0,5,0,0,0,-2,0,1,0,-1,0,-4,0,-7,0,-3,0,2,0,1,0,1,0,0,0,-1,0,-5,0,-7,0,-4,0,3,Stop
5,Stop_5,0,1,0,-2,0,0,0,-2,0,-4,0,-8,0,-4,0,2,0,-11,0,-8,0,-5,0,-2,0,-2,0,-4,0,-1,0,5,0,0,0,0,0,0,0,-1,0,-2,0,0,0,-2,0,-2,0,1,0,1,0,0,0,-1,0,1,0,7,0,1,0,-5,0,3,0,7,0,2,0,-6,0,0,0,5,0,0,0,-7,Stop
6,Stop_6,0,-1,0,0,0,-2,0,-1,0,6,0,7,0,4,0,-4,0,0,0,-1,0,0,0,-2,0,5,0,8,0,3,0,-4,0,10,0,13,0,4,0,-13,0,-2,0,10,0,5,0,-8,0,0,0,1,0,-1,0,-2,0,7,0,6,0,7,0,-5,0,-3,0,11,0,3,0,-7,0,1,0,2,0,1,0,1,Stop
7,Stop_7,0,-1,0,6,0,5,0,-5,0,0,0,1,0,0,0,1,0,-10,0,5,0,7,0,-15,0,-1,0,4,0,1,0,-6,0,-4,0,-1,0,0,0,0,0,-1,0,1,0,-2,0,6,0,2,0,-2,0,7,0,12,0,-3,0,1,0,-2,0,1,0,5,0,-8,0,2,0,19,0,1,0,-11,0,-9,0,4,Stop
8,Stop_8,0,-2,0,5,0,3,0,3,0,-2,0,-18,0,-6,0,3,0,2,0,5,0,-3,0,1,0,-7,0,-13,0,-4,0,3,0,1,0,-13,0,-11,0,0,0,-4,0,2,0,0,0,-1,0,-15,0,-23,0,-15,0,1,0,-7,0,-12,0,-6,0,0,0,-2,0,-6,0,-3,0,4,0,2,0,1,0,-2,0,1,Stop
9,Stop_9,0,-3,0,-3,0,-1,0,4,0,3,0,0,0,1,0,2,0,-1,0,0,0,1,0,4,0,0,0,-1,0,5,0,11,0,0,0,0,0,5,0,7,0,2,0,0,0,-3,0,-1,0,2,0,1,0,2,0,1,0,0,0,-2,0,-4,0,-1,0,0,0,2,0,3,0,-1,0,-1,0,1,0,-3,0,-4,Stop
10,Stop_10,0,-2,0,3,0,0,0,-8,0,-1,0,0,0,0,0,0,0,0,0,2,0,-3,0,-7,0,-1,0,1,0,1,0,0,0,-8,0,-4,0,-11,0,-23,0,-5,0,1,0,-2,0,-12,0,-4,0,3,0,-3,0,-12,0,0,0,0,0,0,0,0,0,-4,0,5,0,3,0,-9,0,-1,0,2,0,0,0,-1,Stop
